Ciphertexts,RunningTime,CPUTime,Bytes
63077,4.77285,71.44167778,403.9554036
63307,3.978061111,58.96857778,265.1132813
63648,4.290872222,67.17779444,321.2861328
67312,4.573311111,69.58915,411.1845703
76832,6.136727778,94.05781667,441.9928385
82658,5.604766667,85.25562222,588.3447266
86116,6.578922222,100.0443111,507.8632813
86383,6.479583333,95.12139444,430.3746745
87553,5.559311111,85.34522778,520.1972656
102899,7.721572222,118.2734556,803.7460938
125575,8.644272222,133.69685,686.7363281
130555,10.17734444,158.4319,746.6972656
149535,10.41794444,161.8142778,896.0917969
161480,11.55471111,176.1534111,853.9238281
173774,11.81523333,183.1419556,955.1357422
179457,14.73867222,229.1747389,1280.277344
188983,13.53543889,210.0126667,1069.747721
194231,13.95218333,213.8019222,978.0546875
216066,15.11998333,236.9132778,1159.404297
227715,19.40881667,303.1720833,1543.584961
266183,19.71910556,309.0145444,1450.888672
292096,25.4061,399.6840333,1898.061523
297474,21.84316667,340.7229556,1570.388672
